ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a10465	early growth response protein 3 isoform 1	1427	gi|348587906|ref|XP_003479708.1|PREDICTED: hypothetical protein LOC100728858 [Cavia porcellus]	XP_003479708	2.57464E-105	67	384.03	411	278	
a10470	zinc finger mynd domain-containing protein 12-like	900	gi|300796553|ref|NP_001178222.1|zinc finger MYND domain-containing protein 12 [Bos taurus]	NP_001178222	1.34499E-57	81	224.557	159	130	
a104771	calcium calmodulin-dependent protein kinase kinase 1	353	gi|326931214|ref|XP_003211728.1|PREDICTED: calcium/calmodulin-dependent protein kinase kinase 1-like [Meleagris gallopavo]	XP_003211728	4.3825E-55	95	213.772	117	112	
a10479	gap junction beta-7	1201	gi|224048461|ref|XP_002195738.1|PREDICTED: hypothetical protein [Taeniopygia guttata]	XP_002195738	2.11349E-94	84	347.436	231	195	
a104815	zinc finger protein 420-like	543	gi|327282384|ref|XP_003225923.1|PREDICTED: zinc finger protein 420-like [Anolis carolinensis]	XP_003225923	7.61748E-6	73	51.2174	45	33	
a10482	zinc finger protein dzip1	3851	gi|363729120|ref|XP_416984.3|PREDICTED: zinc finger protein DZIP1 [Gallus gallus]	XP_416984	4.93343E-65	73	251.906	334	245	
a104826	laminin subunit alpha-4 isoform 2	385	gi|224048287|ref|XP_002191213.1|PREDICTED: similar to LAMA4 variant protein [Taeniopygia guttata]	XP_002191213	1.03157E-19	76	96.2857	71	54	
a10485	pre-mrna-processing factor 39	890	gi|296214898|ref|XP_002753900.1|PREDICTED: pre-mRNA-processing factor 39 [Callithrix jacchus]	XP_002753900	1.381E-22	93	108.227	63	59	
a10488	multidrug resistance-associated protein 1-like	1888	gi|224070102|ref|XP_002196022.1|PREDICTED: ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Taeniopygia guttata]	XP_002196022	1.46791E-45	92	186.037	110	102	
a10500	ras-related protein rab-17-like	973	gi|327260890|ref|XP_003215266.1|PREDICTED: ras-related protein Rab-17-like [Anolis carolinensis]	XP_003215266	1.30126E-8	66	62.003	56	37	
a10503	uhrf1-binding protein 1-like	1084	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	4.57945E-29	66	130.183	126	84	
a10504	atp synthase subunit mitochondrial-like	424	gi|348521212|ref|XP_003448120.1|PREDICTED: ATP synthase subunit gamma, mitochondrial-like [Oreochromis niloticus]	XP_003448120	6.17425E-70	95	263.077	141	135	
a10508	probable atp-dependent rna helicase dhx34	538	gi|291413336|ref|XP_002722916.1|PREDICTED: DEAH (Asp-Glu-Ala-His) box polypeptide 34 isoform 2 [Oryctolagus cuniculus]	XP_002722916	5.61384E-30	61	131.339	159	98	
a10509	probable atp-dependent rna helicase dhx34	437	gi|334328705|ref|XP_001372978.2|PREDICTED: probable ATP-dependent RNA helicase DHX34 [Monodelphis domestica]	XP_001372978	4.82681E-63	90	240.35	144	131	
a105157	tumor protein 63	380	gi|344290448|ref|XP_003416950.1|PREDICTED: cellular tumor antigen p53-like [Loxodonta africana]	XP_003416950	7.85511E-41	77	166.392	118	92	
a10519	diamine acetyltransferase 2-like	805	gi|50540174|ref|NP_001002554.1|diamine N-acetyltransferase 2 [Danio rerio]	NP_001002554	3.63685E-32	59	139.813	171	102	
a10521	btb poz domain-containing protein 2-like	2244	gi|334326746|ref|XP_001371955.2|PREDICTED: BTB/POZ domain-containing protein 2-like [Monodelphis domestica]	XP_001371955	0.0	96	825.083	433	418	
a10524	atp synthase subunit mitochondrial-like	1587	gi|366039974|ref|NP_001019600.2|ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit [Danio rerio]	NP_001019600	0.0	95	765.377	419	400	
a10525	cell cycle progression protein 1-like	981	gi|327273716|ref|XP_003221626.1|PREDICTED: uncharacterized protein KIAA1211-like [Anolis carolinensis]	XP_003221626	2.17588E-128	81	459.914	292	238	
a10529	heat shock protein hsp 90-beta	999	gi|348517636|ref|XP_003446339.1|PREDICTED: heat shock protein HSP 90-beta-like [Oreochromis niloticus]	XP_003446339	2.07258E-166	97	586.26	332	325	
a105335	serine threonine-protein phosphatase 4 regulatory subunit 4	393	gi|118092128|ref|XP_421339.2|PREDICTED: serine/threonine-protein phosphatase 4 regulatory subunit 4 [Gallus gallus]	XP_421339	3.14705E-61	96	234.187	131	127	
a10548	iq domain-containing protein k-like	1290	gi|363739774|ref|XP_424597.3|PREDICTED: IQ domain-containing protein K isoform 2 [Gallus gallus]	XP_424597	5.25392E-54	84	213.386	144	121	
a105493	disintegrin and metalloproteinase domain-containing protein 10 precursor	340	gi|327286801|ref|XP_003228118.1|PREDICTED: disintegrin and metalloproteinase domain-containing protein 10-like [Anolis carolinensis]	XP_003228118	6.02021E-36	66	150.214	130	86	
a10551	protein fam116b	1727	gi|345320066|ref|XP_001518571.2|PREDICTED: protein FAM116B-like, partial [Ornithorhynchus anatinus]	XP_001518571	1.06111E-103	88	379.022	229	202	
a10552	zinc finger protein 574	777	gi|187608044|ref|NP_001120164.1|zinc finger protein 526 [Xenopus (Silurana) tropicalis]	NP_001120164	1.02086E-52	71	207.994	156	111	
a105530	platelet endothelial cell adhesion molecule-like	353	gi|318037238|ref|NP_776996.2|platelet endothelial cell adhesion molecule precursor [Bos taurus]	NP_776996	1.52735E-7	57	55.8398	77	44	
a10559	menin isoform 1	1759	gi|9506895|ref|NP_062081.1|menin [Rattus norvegicus]	NP_062081	0.0	77	777.704	566	437	
a1056	yjef n-terminal domain-containing protein 3-like	488	gi|327290642|ref|XP_003230031.1|PREDICTED: yjeF N-terminal domain-containing protein 3-like [Anolis carolinensis]	XP_003230031	4.08819E-44	95	177.948	92	88	
a105620	atp-dependent rna helicase ddx19b	330	gi|77628154|ref|NP_001005381.2|zinc responsive protein ZD10B [Rattus norvegicus]	NP_001005381	1.26739E-14	100	79.337	40	40	
a10568	heme oxygenase 2	1487	gi|350539475|ref|NP_001232378.1|putative heme oxygenase 2 variant 2 [Taeniopygia guttata]	NP_001232378	2.80442E-118	84	427.172	287	243	
a10570	plasminogen activator inhibitor 1 rna-binding	559	gi|326668694|ref|XP_002662522.2|PREDICTED: plasminogen activator inhibitor 1 RNA-binding protein-like [Danio rerio]	XP_002662522	2.08129E-17	67	89.7373	124	84	
a10571	squalene synthase-like	1097	gi|327288076|ref|XP_003228754.1|PREDICTED: squalene synthase-like [Anolis carolinensis]	XP_003228754	1.41459E-9	88	65.4698	35	31	
a10573	histone	621	gi|50728582|ref|XP_416189.1|PREDICTED: histone H1.10 [Gallus gallus]	XP_416189	1.49163E-20	96	100.523	66	64	
a10579	PREDICTED: uncharacterized protein LOC100504165 [Mus musculus]	1556	gi|309272546|ref|XP_003085559.1|PREDICTED: uncharacterized protein LOC100504165 [Mus musculus]	XP_003085559	2.77751E-15	56	85.1149	190	107	
a1058	bromodomain-containing protein 4 isoform 1	947	gi|296237120|ref|XP_002763618.1|PREDICTED: hypothetical protein LOC100390016 [Callithrix jacchus]	XP_002763618	8.44436E-5	37	49.2914	351	133	
a10587	emilin-1 precursor	1246	gi|327290050|ref|XP_003229737.1|PREDICTED: EMILIN-1-like, partial [Anolis carolinensis]	XP_003229737	3.42324E-111	100	403.29	205	205	
a105901	estradiol 17-beta-dehydrogenase 8	358	gi|345316847|ref|XP_001518613.2|PREDICTED: estradiol 17-beta-dehydrogenase 8-like, partial [Ornithorhynchus anatinus]	XP_001518613	2.59315E-15	87	81.6481	48	42	
a10596	sperm-associated antigen 5-like	456	gi|363741307|ref|XP_001234950.2|PREDICTED: sperm-associated antigen 5-like [Gallus gallus]	XP_001234950	1.16347E-12	61	73.1738	128	79	
a10613	protein kinase c zeta type	2470	gi|363741820|ref|XP_417561.3|PREDICTED: protein kinase C zeta type [Gallus gallus]	XP_417561	0.0	95	1011.52	526	504	
a10616	beta- n-acetylgalactosaminyltransferase 1-like	712	gi|327290212|ref|XP_003229817.1|PREDICTED: beta-1,4 N-acetylgalactosaminyltransferase 1-like [Anolis carolinensis]	XP_003229817	2.37396E-34	100	146.747	72	72	
a10617	golgin subfamily b member 1 isoform 2	6418	gi|327271648|ref|XP_003220599.1|PREDICTED: Golgin subfamily B member 1-like [Anolis carolinensis]	XP_003220599	0.0	99	2261.11	1469	1462	
a10624	low quality protein: whirlin-like	980	gi|327290529|ref|XP_003229975.1|PREDICTED: whirlin-like [Anolis carolinensis]	XP_003229975	8.38419E-80	93	298.516	161	151	
a10626	troponin i type 1 ( slow)	1375	gi|332259355|ref|XP_003278753.1|PREDICTED: hypothetical protein LOC100594678, partial [Nomascus leucogenys]	XP_003278753	1.2107E-11	66	72.7886	90	60	
a10630	mps one binder kinase activator-like 2a-like	702	gi|224087472|ref|XP_002191674.1|PREDICTED: similar to MOB-LAK [Taeniopygia guttata]	XP_002191674	4.51427E-30	92	132.494	71	66	
a10637	aspartyl aminopeptidase-like	851	gi|327260584|ref|XP_003215114.1|PREDICTED: aspartyl aminopeptidase-like [Anolis carolinensis]	XP_003215114	4.88698E-30	100	132.88	76	76	
a10639	dual specificity protein phosphatase 23-like	1163	gi|327290607|ref|XP_003230014.1|PREDICTED: dual specificity protein phosphatase 23-like [Anolis carolinensis]	XP_003230014	8.51044E-85	100	315.464	151	151	
a10642	cgmp-dependent protein kinase 1 isoform 1	1446	gi|344275003|ref|XP_003409303.1|PREDICTED: cGMP-dependent protein kinase 1-like isoform 1 [Loxodonta africana]	XP_003409303	0.0	92	842.417	463	427	
a10643	low quality protein: armadillo repeat-containing protein 5-like	825	gi|354505565|ref|XP_003514838.1|PREDICTED: armadillo repeat-containing protein 5-like [Cricetulus griseus]	XP_003514838	2.68087E-62	64	239.965	292	187	
a106450	dynein heavy chain axonemal-like	329	gi|345326189|ref|XP_001511137.2|PREDICTED: dynein heavy chain 12, axonemal-like [Ornithorhynchus anatinus]	XP_001511137	1.063E-45	88	182.57	109	97	
a10654	bactericidal permeability-increasing protein precursor	1201	gi|363741536|ref|XP_417465.3|PREDICTED: bactericidal permeability-increasing protein [Gallus gallus]	XP_417465	3.98588E-93	74	343.199	286	212	
a10655	39s ribosomal protein mitochondrial-like	2073	gi|291397998|ref|XP_002715592.1|PREDICTED: mitochondrial ribosomal protein L9-like [Oryctolagus cuniculus]	XP_002715592	1.28987E-74	78	282.722	215	169	
a10659	malate cytoplasmic	553	gi|253314478|ref|NP_001156606.1|cytosolic malate dehydrogenase A [Oryzias latipes]	NP_001156606	2.18922E-88	96	325.479	184	177	
a10660	malate cytoplasmic-like	464	gi|253314478|ref|NP_001156606.1|cytosolic malate dehydrogenase A [Oryzias latipes]	NP_001156606	2.75772E-73	95	274.633	148	142	
a1067	PREDICTED: uncharacterized protein LOC100847767 [Bos taurus]	555	gi|359065264|ref|XP_003586095.1|PREDICTED: uncharacterized protein LOC100847767 [Bos taurus]	XP_003586095	1.62932E-6	64	53.5286	64	41	
a10671	probable atp-dependent rna helicase ddx49	3637	gi|326934515|ref|XP_003213334.1|PREDICTED: probable ATP-dependent RNA helicase DDX49-like [Meleagris gallopavo]	XP_003213334	0.0	90	723.776	452	408	
a10672	sulfatase-modifying factor 2-like	1353	gi|50758160|ref|XP_415788.1|PREDICTED: sulfatase-modifying factor 2 [Gallus gallus]	XP_415788	1.17416E-43	84	179.104	106	90	
a10675	dna-directed rna polymerase ii subunit rpb11-like	1609	gi|350537195|ref|NP_001232039.1|putative DNA directed RNA polymerase II polypeptide J [Taeniopygia guttata]	NP_001232039	1.32103E-60	100	235.728	117	117	
a1068	guanine nucleotide binding protein (g protein) alpha activating activity olfactory type	5671	gi|126723374|ref|NP_001008746.1|guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type [Gallus gallus]	NP_001008746	0.0	98	754.977	379	375	
a10681	erlin-1	2033	gi|157822157|ref|NP_001099823.1|erlin-1 [Rattus norvegicus]	NP_001099823	9.71425E-51	62	203.371	212	132	
a10682	erlin-1	1846	gi|157822157|ref|NP_001099823.1|erlin-1 [Rattus norvegicus]	NP_001099823	1.2022E-60	94	236.113	145	137	
a10688	coiled-coil domain-containing protein 30	2930	gi|363742053|ref|XP_417659.3|PREDICTED: coiled-coil domain-containing protein 30 [Gallus gallus]	XP_417659	5.03478E-99	61	364.385	690	423	
a106908	ccr4-not transcription complex subunit 1-like	362	gi|327290292|ref|XP_003229857.1|PREDICTED: CCR4-NOT transcription complex subunit 1-like [Anolis carolinensis]	XP_003229857	2.75118E-25	100	114.775	53	53	
a106914	PREDICTED: hypothetical protein LOC100414382 [Callithrix jacchus]	539	gi|296234236|ref|XP_002762361.1|PREDICTED: hypothetical protein LOC100414382 [Callithrix jacchus]	XP_002762361	2.85011E-5	67	49.2914	58	39	
a10692	intermediate filament family orphan 2	5817	gi|363741991|ref|XP_003642578.1|PREDICTED: intermediate filament family orphan 2 [Gallus gallus]	XP_003642578	0.0	76	648.662	475	364	
a10694	polyadenylate-binding protein 4 isoform 3	3879	gi|149608633|ref|XP_001515603.1|PREDICTED: polyadenylate-binding protein 4 [Ornithorhynchus anatinus]	XP_001515603	0.0	88	1050.04	630	558	
a10695	polyadenylate-binding protein 1	3992	gi|327283838|ref|XP_003226647.1|PREDICTED: polyadenylate-binding protein 1-like [Anolis carolinensis]	XP_003226647	0.0	99	1171.76	636	634	
a10697	PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	346	gi|327263792|ref|XP_003216701.1|PREDICTED: hypothetical protein LOC100553104 [Anolis carolinensis]	XP_003216701	9.96943E-7	70	53.1434	37	26	
a10703	serine threonine-protein kinase ulk1	695	gi|118098424|ref|XP_415091.2|PREDICTED: serine/threonine-protein kinase ULK1 [Gallus gallus]	XP_415091	3.29675E-17	97	89.7373	45	44	
a1071	snurportin-1	1711	gi|126272262|ref|XP_001365778.1|PREDICTED: snurportin-1-like [Monodelphis domestica]	XP_001365778	6.10889E-120	80	432.95	356	286	
a10714	dna-directed rna polymerase i subunit rpa2 isoform 1	3864	gi|359321637|ref|XP_003639648.1|PREDICTED: DNA-directed RNA polymerase I subunit RPA2-like isoform 1 [Canis lupus familiaris]	XP_003639648	0.0	90	1749.95	1066	960	
a10715	adenosine receptor a2b	3474	gi|224076477|ref|XP_002198489.1|PREDICTED: adenosine A2b receptor [Taeniopygia guttata]	XP_002198489	1.35128E-114	82	416.387	307	254	
a10718	microtubule-actin cross-linking factor isoforms 1 2 3 5-like	2057	gi|326674648|ref|XP_695869.4|PREDICTED: microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like [Danio rerio]	XP_695869	1.34381E-132	62	475.322	506	315	
a107268	hexosaminidase d	393	gi|363740792|ref|XP_003642379.1|PREDICTED: hexosaminidase D [Gallus gallus]	XP_003642379	1.91813E-42	84	171.785	117	99	
a10737	low quality protein: neurogenic locus notch homolog protein 1-like	876	gi|334312039|ref|XP_003339701.1|PREDICTED: LOW QUALITY PROTEIN: neurogenic locus notch homolog protein 1-like [Monodelphis domestica]	XP_003339701	6.42393E-174	93	610.912	292	272	
a10753	tropomyosin alpha-1 chain-like isoform 2	592	gi|348504690|ref|XP_003439894.1|PREDICTED: tropomyosin alpha-4 chain-like isoform 3 [Oreochromis niloticus]	XP_003439894	9.85358E-56	97	217.238	119	116	
a10754	interferon gamma precursor	819	gi|45433518|ref|NP_990480.1|interferon gamma precursor [Gallus gallus]	NP_990480	2.05422E-14	60	80.8777	123	75	
a10758	ubiquitin carboxyl-terminal hydrolase 20	894	gi|345306120|ref|XP_001507999.2|PREDICTED: LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase 20 [Ornithorhynchus anatinus]	XP_001507999	2.10344E-87	94	323.553	177	168	
a10762	epidermal growth factor receptor substrate 15-like 1	890	gi|326934596|ref|XP_003213374.1|PREDICTED: epidermal growth factor receptor substrate 15-like 1-like [Meleagris gallopavo]	XP_003213374	6.63849E-17	97	89.3521	49	48	
a107664	iq domain-containing protein k-like	383	gi|194219180|ref|XP_001488349.2|PREDICTED: IQ domain-containing protein K-like [Equus caballus]	XP_001488349	2.21046E-38	87	158.303	106	93	
a10769	60s ribosomal protein l36	1217	gi|126323139|ref|XP_001365845.1|PREDICTED: 60S ribosomal protein L36-like [Monodelphis domestica]	XP_001365845	5.76327E-47	100	189.889	105	105	
a10770	wash complex subunit fam21c	592	gi|348535776|ref|XP_003455374.1|PREDICTED: hypothetical protein LOC100701766 [Oreochromis niloticus]	XP_003455374	8.99525E-25	80	114.39	91	73	
a10776	zinc finger protein 420-like	635	gi|327288706|ref|XP_003229067.1|PREDICTED: zinc finger protein 658-like [Anolis carolinensis]	XP_003229067	2.50939E-26	57	119.783	150	86	
a107769	mitochondrial thiamine pyrophosphate carrier	627	gi|327265025|ref|XP_003217309.1|PREDICTED: mitochondrial thiamine pyrophosphate carrier-like [Anolis carolinensis]	XP_003217309	1.03919E-77	100	290.426	143	143	
a10782	arf-gap with coiled- ank repeat and ph domain-containing protein 2	1102	gi|57529600|ref|NP_001006548.1|arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Gallus gallus]	NP_001006548	4.56947E-8	85	60.4622	34	29	
a10784	transcription factor jun-b-like	1621	gi|126322785|ref|XP_001362664.1|PREDICTED: transcription factor jun-B-like [Monodelphis domestica]	XP_001362664	8.31703E-79	64	296.204	367	237	
a107840	protein phosphatase methylesterase 1	576	gi|224044119|ref|XP_002187228.1|PREDICTED: protein phosphatase methylesterase-1 [Taeniopygia guttata]	XP_002187228	6.12488E-92	98	337.421	190	187	
a107842	probable fructose- -bisphosphatase tigar-like	479	gi|327273327|ref|XP_003221432.1|PREDICTED: probable fructose-2,6-bisphosphatase TIGAR-like [Anolis carolinensis]	XP_003221432	5.28843E-57	100	220.705	110	110	
a107845	39s ribosomal protein mitochondrial-like	561	gi|344275410|ref|XP_003409505.1|PREDICTED: 39S ribosomal protein L9, mitochondrial-like [Loxodonta africana]	XP_003409505	9.09347E-45	71	180.644	170	122	
a107868	bone morphogenetic protein 1 precursor	1262	gi|113931378|ref|NP_001039136.1|bone morphogenetic protein 1 precursor [Xenopus (Silurana) tropicalis]	NP_001039136	1.27424E-137	85	491.115	307	262	
a107872	uhrf1-binding protein 1-like	451	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	5.30084E-15	66	80.8777	65	43	
a107895	a disintegrin and metalloproteinase with thrombospondin motifs 19	433	gi|348583004|ref|XP_003477265.1|PREDICTED: LOW QUALITY PROTEIN: A disintegrin and metalloproteinase with thrombospondin motifs 19-like [Cavia porcellus]	XP_003477265	8.27465E-73	98	272.707	135	133	
a107896	dentatorubral pallidoluysian atrophy	356	gi|363728274|ref|XP_425518.3|PREDICTED: atrophin-1 [Gallus gallus]	XP_425518	1.99012E-7	80	55.4546	51	41	
a10791	general transcription factor 3c polypeptide 4	1699	gi|363740559|ref|XP_415450.3|PREDICTED: general transcription factor 3C polypeptide 4 [Gallus gallus]	XP_415450	2.87126E-45	90	184.882	95	86	
a107911	autism susceptibility gene 2 protein	799	gi|297490330|ref|XP_002698156.1|PREDICTED: autism susceptibility gene 2 protein [Bos taurus]	XP_002698156	7.37675E-78	92	291.582	197	183	
a107914	histone -like	593	gi|354490271|ref|XP_003507282.1|PREDICTED: hypothetical protein LOC100753137 [Cricetulus griseus]	XP_003507282	6.06674E-45	97	181.415	94	92	
a107917	secreted frizzled-related protein 1-like	1047	gi|126304111|ref|XP_001381909.1|PREDICTED: secreted frizzled-related protein 1-like [Monodelphis domestica]	XP_001381909	2.4957E-125	92	449.899	300	277	
a10792	troponin i type 1 ( slow)	737	gi|224084982|ref|XP_002195737.1|PREDICTED: troponin I type 1 (skeletal, slow) [Taeniopygia guttata]	XP_002195737	6.56193E-6	55	52.373	79	44	
a107923	trans- -dihydrobenzene- -diol dehydrogenase-like	1015	gi|327283031|ref|XP_003226245.1|PREDICTED: trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like [Anolis carolinensis]	XP_003226245	3.10734E-117	99	422.935	212	211	
a107933	cdgsh iron-sulfur domain-containing protein 2-like	950	gi|50746903|ref|XP_420668.1|PREDICTED: CDGSH iron-sulfur domain-containing protein 2 [Gallus gallus]	XP_420668	3.87939E-58	97	226.483	135	132	
